event_time,event_type,product_id,category_code,brand,price,user_id,user_session,event_date,is_purchased,event_weekday,category_code_level1,category_code_level2,activity_count
2019-10-01 00:09:33 UTC,cart,1002524,electronics.smartphone,apple,515.67,524325294,0b74a829-f9d7-4654-b5b0-35bc9822c238,10/1/2019,1,1,electronics,smartphone,4
2019-10-01 00:11:00 UTC,cart,4804056,electronics.audio.headphone,apple,161.98,533624186,e5ac3caa-e6d5-4d6b-ae06-2c18cd9ca683,10/1/2019,0,1,electronics,audio,4
2019-10-01 02:17:59 UTC,cart,1004833,electronics.smartphone,samsung,174.76,536415846,685b5b42-f597-4a69-ab4c-ef96a30bc454,10/1/2019,0,1,electronics,smartphone,7
2019-10-01 02:19:36 UTC,cart,1005003,electronics.smartphone,huawei,258.21,513632293,f2cc68f7-39d1-4a50-9dcf-f2a0921bdfda,10/1/2019,1,1,electronics,smartphone,16
2019-10-01 02:19:43 UTC,cart,1004750,electronics.smartphone,samsung,197.43,555110488,ce885079-4d92-4fe6-92a3-377c5a2d8291,10/1/2019,1,1,electronics,smartphone,10
2019-10-01 02:20:32 UTC,cart,1004709,electronics.smartphone,huawei,155.77,513852171,e48800b3-61fc-4b80-9feb-7d80150b64a7,10/1/2019,0,1,electronics,smartphone,6
2019-10-01 02:20:44 UTC,cart,1004659,electronics.smartphone,samsung,787.18,555168263,d068d08f-aaf3-4949-b031-cdaf49a5c7cf,10/1/2019,1,1,electronics,smartphone,3
2019-10-01 02:21:04 UTC,cart,1500021,computers.peripherals.printer,epson,116.73,513489079,63de1120-9d48-45d0-b024-500d1b95d71f,10/1/2019,1,1,computers,peripherals,8
2019-10-01 02:21:16 UTC,cart,1004247,electronics.smartphone,apple,809.72,519840569,d5de76ec-7ef2-4d78-bf16-220f2ca3fcdb,10/1/2019,0,1,electronics,smartphone,8
2019-10-01 02:21:49 UTC,cart,5100719,electronics.clocks,samsung,151.61,549614436,129d379f-0137-4bd5-bf30-90c4c7bef7c8,10/1/2019,1,1,electronics,clocks,5
2019-10-01 02:21:51 UTC,cart,1005135,electronics.smartphone,apple,1747.79,515384420,7f82b450-6c45-4346-96fb-ecf4ab25779c,10/1/2019,1,1,electronics,smartphone,10
2019-10-01 02:22:14 UTC,cart,1005144,electronics.smartphone,apple,1747.79,554507659,79642286-cb41-44f2-b3d7-aafe9c0c5e54,10/1/2019,0,1,electronics,smartphone,5
2019-10-01 02:22:42 UTC,cart,1005126,electronics.smartphone,apple,1413.16,512766455,b8cd87dd-b12c-4dcf-8521-5819b1e933d6,10/1/2019,0,1,electronics,smartphone,6
2019-10-01 02:23:15 UTC,cart,8800448,electronics.telephone,nokia,43.66,518494067,521e7934-57af-49c6-a96f-b1b4676b7d39,10/1/2019,1,1,electronics,telephone,13
2019-10-01 02:23:59 UTC,cart,1004659,electronics.smartphone,samsung,787.18,514659549,d76892db-0bc7-4f74-9fc4-a990675ee082,10/1/2019,0,1,electronics,smartphone,5
2019-10-01 02:24:07 UTC,cart,1004856,electronics.smartphone,samsung,130.76,555110488,ce885079-4d92-4fe6-92a3-377c5a2d8291,10/1/2019,1,1,electronics,smartphone,10
2019-10-01 02:24:23 UTC,cart,1004836,electronics.smartphone,samsung,241.19,519405363,5282f124-e62b-462c-b03a-5fb6aa3ac568,10/1/2019,0,1,electronics,smartphone,7
2019-10-01 02:24:53 UTC,cart,1004566,electronics.smartphone,huawei,177.2,518962372,718c8069-2782-4585-acad-6747f6f2f79d,10/1/2019,1,1,electronics,smartphone,4
2019-10-01 02:24:57 UTC,cart,1004650,electronics.smartphone,samsung,628.78,516025438,86916d0f-ed46-4e0f-a005-c9b32b2db48c,10/1/2019,1,1,electronics,smartphone,6
2019-10-01 02:25:04 UTC,cart,1004833,electronics.smartphone,samsung,174.76,536229871,e2674777-f9e9-4839-8a96-49a137cb176e,10/1/2019,0,1,electronics,smartphone,5
2019-10-01 02:25:07 UTC,cart,1004750,electronics.smartphone,samsung,197.43,550224334,0d6450ef-4cbb-49b3-92e7-91b1d525833a,10/1/2019,1,1,electronics,smartphone,10
2019-10-01 02:25:13 UTC,cart,3700717,appliances.environment.vacuum,karcher,167.05,518526791,65309775-0d9b-463b-8921-70753f6087e9,10/1/2019,0,1,appliances,environment,10
2019-10-01 02:25:20 UTC,cart,5100563,electronics.clocks,samsung,259.98,555462491,ef60bea8-e748-4fc4-a738-b0442abb101e,10/1/2019,0,1,electronics,clocks,4
2019-10-01 02:25:34 UTC,cart,1005098,electronics.smartphone,samsung,154.42,514480286,176b4ba0-aac7-440a-944d-f5b08741bd73,10/1/2019,0,1,electronics,smartphone,10
2019-10-01 02:26:26 UTC,cart,1004767,electronics.smartphone,samsung,254.82,523751849,6d302422-8cbc-45c1-9bf6-729b63c93393,10/1/2019,1,1,electronics,smartphone,5
2019-10-01 02:26:30 UTC,cart,1005115,electronics.smartphone,apple,975.57,555462153,08a87442-0baa-4b91-a951-ac999ed03cdc,10/1/2019,0,1,electronics,smartphone,4
2019-10-01 02:27:05 UTC,cart,1005003,electronics.smartphone,huawei,258.21,555463090,b8f6b017-16b3-47a5-9e3e-17596ba5096e,10/1/2019,0,1,electronics,smartphone,2
2019-10-01 02:27:06 UTC,cart,1002629,electronics.smartphone,apple,377.29,541359969,07843bf1-a59a-4a98-a302-38cbd2d1db9f,10/1/2019,0,1,electronics,smartphone,9
2019-10-01 02:27:21 UTC,cart,1004870,electronics.smartphone,samsung,286.86,514311861,4c60cd4d-7f6f-4037-a611-9b20619b31e3,10/1/2019,1,1,electronics,smartphone,4
2019-10-01 02:27:23 UTC,cart,1005104,electronics.smartphone,apple,975.57,552408931,e8b95f1a-5f87-40ab-b75a-40942d5a1726,10/1/2019,1,1,electronics,smartphone,9
2019-10-01 02:27:27 UTC,cart,1004238,electronics.smartphone,apple,1206.4,555462711,38c6d3f7-6c32-4fed-bca6-ef98e1746386,10/1/2019,1,1,electronics,smartphone,3
2019-10-01 02:27:43 UTC,cart,1004856,electronics.smartphone,samsung,130.76,543356214,cc27a71b-006f-4028-ad60-46cf26ab06af,10/1/2019,1,1,electronics,smartphone,5
2019-10-01 02:28:09 UTC,cart,1004833,electronics.smartphone,samsung,174.76,525454715,18af05cc-c950-46f5-9a4d-317b6140e727,10/1/2019,1,1,electronics,smartphone,4
2019-10-01 02:29:26 UTC,cart,1004750,electronics.smartphone,samsung,197.43,512592316,2f8c3cd6-2b93-4440-bd72-3c36f4a2fd6c,10/1/2019,1,1,electronics,smartphone,9
2019-10-01 02:29:49 UTC,cart,1004958,electronics.smartphone,xiaomi,360.08,513632293,f2cc68f7-39d1-4a50-9dcf-f2a0921bdfda,10/1/2019,1,1,electronics,smartphone,16
2019-10-01 02:29:59 UTC,cart,1004247,electronics.smartphone,apple,809.72,519840569,1ca2d325-42eb-466d-816e-5aa4525156bd,10/1/2019,0,1,electronics,smartphone,3
2019-10-01 02:30:19 UTC,cart,1801766,electronics.video.tv,artel,150.71,544256724,d2f9128c-dba0-4f32-8058-53acb7982f68,10/1/2019,0,1,electronics,video,12
2019-10-01 02:30:35 UTC,cart,1004833,electronics.smartphone,samsung,174.76,512592316,2f8c3cd6-2b93-4440-bd72-3c36f4a2fd6c,10/1/2019,1,1,electronics,smartphone,9
2019-10-01 02:30:36 UTC,cart,4804295,electronics.audio.headphone,xiaomi,23.13,513684529,5fdc8eaa-8bcb-427f-a2b4-6fb50181aee6,10/1/2019,1,1,electronics,audio,3
2019-10-01 02:30:51 UTC,cart,1005138,electronics.smartphone,apple,1747.79,517537565,10de1972-1089-4f29-8a02-6c7b02d3b47e,10/1/2019,0,1,electronics,smartphone,4
2019-10-01 02:30:56 UTC,cart,1004562,electronics.smartphone,meizu,101.65,550443776,37902f7d-1c34-43f2-8258-a5f28ec0fb76,10/1/2019,0,1,electronics,smartphone,9
2019-10-01 02:31:02 UTC,cart,5100689,electronics.clocks,apple,385.82,512736046,f0a6fb4a-df23-49b9-bb97-879fd4cd09e0,10/1/2019,1,1,electronics,clocks,10
2019-10-01 02:31:27 UTC,cart,1004446,electronics.smartphone,samsung,89.32,514892797,c88267b8-c2b0-478a-9d98-9d60ebde43b7,10/1/2019,1,1,electronics,smartphone,4
2019-10-01 02:31:36 UTC,cart,3700127,appliances.environment.vacuum,lg,189.26,512584306,510447fa-8dee-4027-a80a-a17dab9260af,10/1/2019,1,1,appliances,environment,5
